id,name,description,difficulty,image,emoji,created_at,total_shown,total_correct,category
98,Hungary,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/40px-Flag_of_Hungary.svg.png,,2025-09-07 15:57:35,0,0,country
99,Iceland,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Iceland.svg/40px-Flag_of_Iceland.svg.png,,2025-09-07 15:57:35,0,0,country
100,India,UN,0,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/40px-Flag_of_India.svg.png,,2025-09-07 15:57:35,0,0,country
101,Indonesia,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/40px-Flag_of_Indonesia.svg.png,,2025-09-07 15:57:35,0,0,country
102,Iran,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/40px-Flag_of_Iran.svg.png,,2025-09-07 15:57:35,0,0,country
103,Iraq,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/40px-Flag_of_Iraq.svg.png,,2025-09-07 15:57:35,0,0,country
104,Ireland,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/40px-Flag_of_Ireland.svg.png,,2025-09-07 15:57:35,0,0,country
105,Isle of Man,dependent,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_the_Isle_of_Man.svg/40px-Flag_of_the_Isle_of_Man.svg.png,,2025-09-07 15:57:35,0,0,country
106,Israel,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/40px-Flag_of_Israel.svg.png,,2025-09-07 15:57:35,0,0,country
107,Italy,UN,0,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Flag_of_Italy.svg/40px-Flag_of_Italy.svg.png,,2025-09-07 15:57:35,0,0,country
108,Jamaica,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Jamaica.svg/40px-Flag_of_Jamaica.svg.png,,2025-09-07 15:57:35,0,0,country
109,Japan,UN,0,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/40px-Flag_of_Japan.svg.png,,2025-09-07 15:57:35,0,0,country
110,Jersey,dependent,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Flag_of_Jersey.svg/40px-Flag_of_Jersey.svg.png,,2025-09-07 15:57:35,0,0,country
111,Jordan,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Jordan.svg/40px-Flag_of_Jordan.svg.png,,2025-09-07 15:57:35,0,0,country
112,Kazakhstan,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/40px-Flag_of_Kazakhstan.svg.png,,2025-09-07 15:57:35,0,0,country
113,Kenya,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/40px-Flag_of_Kenya.svg.png,,2025-09-07 15:57:35,0,0,country
114,Kiribati,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kiribati.svg/40px-Flag_of_Kiribati.svg.png,,2025-09-07 15:57:35,0,0,country
115,North Korea,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Korea.svg/40px-Flag_of_North_Korea.svg.png,,2025-09-07 15:57:35,0,0,country
116,South Korea,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/40px-Flag_of_South_Korea.svg.png,,2025-09-07 15:57:35,0,0,country
117,Kosovo,partial-recognition,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Kosovo.svg/40px-Flag_of_Kosovo.svg.png,,2025-09-07 15:57:35,0,0,country
118,Kuwait,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Kuwait.svg/40px-Flag_of_Kuwait.svg.png,,2025-09-07 15:57:35,0,0,country
